ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
01432,25017,2501703005,2516840,09271,8118,3784,8.52,0.49,42.566588,-71.575126
01434,25027,2502728950,2516840,09271,1763,305,6.512,0.138,42.53206,-71.61374
01436,25027,2502769275,2503355,,3694,1346,8.993,0.184,42.602059,-72.087015
01438,25027,2502769275,,49096,385,133,0.325,0.019,42.561088,-72.036074
01440,25027,2502725485,2525485,49096,21231,9642,24.506,1.256,42.588337,-71.986069
01450,25017,2501727480,2527445,09271,11212,3791,32.769,1.007,42.611636,-71.564743
01451,25027,2502728950,,09271,5362,1884,21.047,0.628,42.501908,-71.568201
01452,25027,2502731435,,49096,4338,1599,41.061,0.928,42.495111,-72.002339
01453,25027,2502735075,2535075,49096,43550,19117,26.359,0.46,42.519967,-71.763319
01460,25017,2501735950,2536020,09271,10084,3754,16.516,0.995,42.535931,-71.490569
01462,25027,2502737420,2537385,49096,11765,4753,26.617,1.358,42.582607,-71.720464
01463,25017,2501752805,2552770,68563,11667,4524,22.578,0.59,42.670643,-71.602858
01464,25017,2501761590,2561555,09271,7092,2566,15.128,0.079,42.573654,-71.640986
01468,25027,2502769275,2503355,49096,4009,1786,21.955,0.289,42.542767,-72.068345
01469,25017,2501770360,2570325,,7168,2821,21.617,0.227,42.664794,-71.695055
01473,25027,2502777010,,49096,8220,3451,35.441,1.815,42.5546,-71.90544
01474,25017,2501770360,,,1902,707,11.09,0.03,42.673143,-71.748378
01475,25027,2502780405,2580370,95995,10180,4019,42.771,1.051,42.66816,-72.055644
01501,25027,2502702760,,97291,16763,6910,15.257,0.93,42.198867,-71.845722
01503,25027,2502705490,,97291,3514,1497,12.972,0.201,42.384929,-71.633889
01504,25027,2502706015,,72505,9195,4030,11.111,0.319,42.039991,-71.532406
01505,25027,2502707525,,97291,4855,1896,16.057,3.694,42.355049,-71.716157
01506,25027,2502709105,2509070,83641,3443,1471,15.527,1.056,42.180807,-72.107888
01507,25027,2502712715,,97291,13338,5140,42.18,1.612,42.133935,-71.968025
01510,25027,2502714395,2514430,97291,15347,7101,5.653,1.608,42.411887,-71.690005
01515,25027,2502718560,2518595,83641,2120,981,9.864,0.559,42.209682,-72.040178
01516,25027,2502717300,2518875,97291,9213,3385,36.652,1.571,42.053072,-71.752241
01518,25027,2502768155,2523840,83160,3047,1363,12.239,0.745,42.108325,-72.113692
01519,25027,2502726430,,97291,7634,2662,10.68,0.104,42.203404,-71.679739
01520,25027,2502730560,,97291,16893,5978,18.826,0.697,42.334177,-71.854277
01521,25013,2501330665,2530630,,2585,1552,12.282,0.769,42.046783,-72.180212
01522,25027,2502730560,,97291,2890,1199,15.685,0.54,42.375634,-71.867382
01523,25027,2502734165,2564460,97291,8395,3003,27.431,0.529,42.483569,-71.675585
01524,25027,2502734795,,97291,6077,2398,15.899,0.963,42.246029,-71.917566
01525,25027,2502746925,,97291,31,31,0.013,0.0,42.098995,-71.642964
01527,25027,2502741340,,97291,13852,5548,15.578,0.715,42.192246,-71.777649
01529,25027,2502741585,,97291,3176,1315,4.862,0.055,42.036642,-71.578779
01531,25027,2502745105,,,984,427,20.762,0.156,42.326183,-72.133431
01532,25027,2502746820,2546785,97291,15647,5934,18.472,0.272,42.323342,-71.646236
01534,25027,2502746925,2579495,97291,5893,2447,9.514,0.159,42.138896,-71.645003
01535,25027,2502747135,2547100,83641,4750,2074,21.269,0.678,42.267564,-72.066876
01536,25027,2502726430,,97291,7282,3162,8.562,0.296,42.231309,-71.692642
01537,25027,2502751825,,97291,1935,808,6.81,0.114,42.158966,-71.897051
01540,25027,2502751825,2551790,97291,11420,4387,19.103,0.785,42.113727,-71.86085
01541,25027,2502755395,,,3497,1382,35.432,0.399,42.454125,-71.87754
01542,25027,2502734795,,97291,2815,1128,4.213,0.164,42.204251,-71.908907
01543,25027,2502758825,2558790,,9102,3330,35.125,1.138,42.388285,-71.969865
01545,25027,2502761800,2582000,97291,38734,15201,20.761,1.063,42.284767,-71.714228
01550,25027,2502763345,2563345,83160,17669,7478,20.238,0.623,42.059737,-72.033908
01560,25027,2502726430,,97291,4734,2002,3.562,0.101,42.175395,-71.674223
01561,25027,2502734165,2564460,97291,0,50,0.038,0.0,42.445825,-71.688484
